Disease	lung cancer	Rank_lung cancer
HG00479	1.605	0.0807
HG00500	2.9663	0.514
HG00513	1.7179	0.1126
HG00524	2.7718	0.4517
HG00525	3.1696	0.5815
HG00530	2.0005	0.1801
HG00531	0.9648	0.0044
HG00533	2.3599	0.2999
HG00534	3.2854	0.6194
HG00536	2.4359	0.3283
HG00537	2.7857	0.4569
HG00542	1.2531	0.022
HG00543	3.0818	0.5523
HG00551	2.9058	0.4968
HG00553	3.3545	0.6306
HG00554	4.0943	0.768
HG00556	2.1784	0.2412
HG00557	3.8409	0.7264
HG00559	2.0115	0.1869
HG00560	2.1702	0.2364
HG00565	1.9802	0.1741
HG00566	1.9497	0.1669
HG00580	3.204	0.5927
HG00581	4.2275	0.7899
HG00583	8.2946	0.9936
HG00584	2.8039	0.4641
HG00589	2.5886	0.3838
HG00590	2.315	0.2867
HG00592	3.0953	0.5575
HG00593	4.9195	0.8754
HG00595	1.4799	0.0551
HG00596	3.3946	0.633
HG00598	2.2511	0.268
HG00599	2.8945	0.4936
HG00607	5.4592	0.9189
HG00608	1.266	0.024
HG00610	2.7988	0.4629
HG00611	1.8447	0.139
HG00613	3.2069	0.5935
HG00614	5.3185	0.9101
HG00619	3.7084	0.6993
HG00620	1.3495	0.0359
HG00622	2.5785	0.3782
HG00623	1.6216	0.0863
HG00625	3.0477	0.5403
HG00626	3.5794	0.6713
HG00628	4.6011	0.8438
HG00629	6.9213	0.9768
HG00631	2.4958	0.3442
HG00632	3.1737	0.5819
HG00634	2.8086	0.4673
HG00637	1.2738	0.0264
HG00638	10.2359	0.9984
HG00640	1.5962	0.0787
HG00641	3.3885	0.6322
HG00650	3.1639	0.5799
HG00651	2.5151	0.3534
HG00653	1.4567	0.0503
HG00654	0.9677	0.0048
HG00656	3.075	0.5495
HG00657	1.7196	0.1138
HG00662	2.0383	0.1977
HG00663	3.0453	0.5391
HG00671	2.5997	0.3866
HG00672	2.0662	0.2053
HG00674	2.1396	0.2232
HG00675	2.5607	0.3718
HG00683	2.441	0.3299
HG00684	1.604	0.0799
HG00689	2.4346	0.3255
HG00690	3.4893	0.6534
HG00692	2.3122	0.2847
HG00693	1.9913	0.1777
HG00698	1.8423	0.1382
HG00699	2.7486	0.4429
HG00701	1.7437	0.119
HG00704	1.3742	0.0411
HG00705	2.4148	0.3187
HG00707	3.5388	0.6649
HG00708	1.171	0.0128
HG00717	2.2144	0.2556
HG00728	2.034	0.1965
HG00729	1.8302	0.1342
HG00731	2.5883	0.383
HG00732	1.1535	0.0108
HG00734	2.2791	0.2736
HG00736	2.4858	0.3431
HG00737	1.6578	0.0915
HG00739	3.8011	0.7165
HG00740	1.3306	0.0327
HG00742	2.7646	0.4477
HG00743	4.5892	0.8419
HG00759	5.8241	0.9425
HG00766	3.1836	0.5843
HG00844	2.0997	0.2129
HG00851	2.5267	0.3562
HG00864	2.673	0.4137
HG00867	1.2466	0.0212
HG00879	0.8201	0.002
HG00881	1.8887	0.1542
HG00956	2.7061	0.4257
HG00978	2.0051	0.1825
HG00982	2.9793	0.5196
HG01028	2.8528	0.4828
HG01029	3.1028	0.5603
HG01031	1.8458	0.1394
HG01046	4.8443	0.865
HG01047	2.2001	0.2496
HG01048	3.8648	0.73
HG01049	3.547	0.6669
HG01051	3.4508	0.6446
HG01052	1.8336	0.135
HG01054	3.4691	0.6498
HG01055	1.3197	0.0304
HG01058	3.5941	0.6769
HG01060	2.7508	0.4437
HG01061	1.2776	0.0276
HG01063	6.1694	0.9601
HG01064	3.0526	0.5427
HG01066	3.0426	0.5375
HG01067	4.3146	0.8015
HG01069	2.149	0.228
HG01070	2.681	0.4149
HG01072	3.8053	0.7177
HG01073	4.9923	0.8806
HG01075	3.3441	0.629
HG01077	3.6473	0.6869
HG01079	4.0919	0.7672
HG01080	2.6485	0.4062
HG01082	4.515	0.8287
HG01083	3.8313	0.7228
HG01085	5.0592	0.8874
HG01086	1.7837	0.127
HG01088	3.6364	0.6845
HG01089	2.766	0.4489
HG01092	3.3974	0.6342
HG01094	3.2593	0.6122
HG01095	2.6456	0.4054
HG01097	1.5535	0.0663
HG01098	3.0012	0.5252
HG01101	2.4567	0.3335
HG01102	2.4037	0.3159
HG01104	2.0383	0.1977
HG01105	1.7005	0.1006
HG01107	2.6216	0.3962
HG01108	3.8892	0.7344
HG01110	2.874	0.4872
HG01111	1.4546	0.0495
HG01112	2.5068	0.3494
HG01113	1.2829	0.028
HG01119	5.617	0.9305
HG01121	2.4603	0.3355
HG01122	2.0224	0.1929
HG01124	1.5936	0.0767
HG01125	4.2546	0.7919
HG01130	4.3111	0.8007
HG01131	2.9749	0.5176
HG01133	4.4683	0.8227
HG01134	2.5088	0.3506
HG01136	1.7313	0.117
HG01137	5.0952	0.8926
HG01139	2.5651	0.3738
HG01140	3.775	0.7101
HG01142	1.3612	0.0395
HG01148	2.6958	0.4213
HG01149	2.0855	0.2093
HG01161	3.778	0.7121
HG01162	2.4626	0.3367
HG01164	1.5521	0.0659
HG01167	3.53	0.6625
HG01168	2.7555	0.4445
HG01170	2.3136	0.2863
HG01171	3.9567	0.744
HG01173	5.4915	0.9209
HG01174	2.1178	0.2188
HG01176	1.5914	0.0735
HG01177	3.4031	0.635
HG01182	4.6539	0.8466
HG01183	3.3967	0.6334
HG01187	3.2612	0.6134
HG01188	3.4059	0.6354
HG01190	3.087	0.5539
HG01191	12.4709	0.9996
HG01197	5.8556	0.9429
HG01198	0.6565	4e-04
HG01200	3.4862	0.6522
HG01204	1.8737	0.1522
HG01205	3.8351	0.7248
HG01241	2.4022	0.3155
HG01242	4.8472	0.8658
HG01247	5.746	0.9385
HG01248	2.0399	0.1997
HG01250	4.3627	0.8099
HG01251	2.1396	0.2232
HG01253	7.1342	0.9788
HG01254	2.1111	0.2149
HG01256	2.4339	0.3247
HG01257	3.1791	0.5823
HG01259	1.8927	0.1562
HG01260	3.045	0.5387
HG01269	2.7148	0.4297
HG01271	3.6473	0.6869
HG01272	4.2913	0.7991
HG01275	3.8344	0.7236
HG01277	3.2391	0.6066
HG01280	2.3007	0.2819
HG01281	2.2387	0.264
HG01284	3.5075	0.6562
HG01286	4.041	0.7556
HG01302	2.0639	0.2037
HG01303	1.8238	0.133
HG01305	5.9626	0.9509
HG01308	3.06	0.5447
HG01311	2.6666	0.4105
HG01312	4.838	0.8642
HG01323	4.0499	0.76
HG01325	4.6423	0.8462
HG01326	5.457	0.9185
HG01334	1.7005	0.1006
HG01341	1.2317	0.0184
HG01342	6.4405	0.9677
HG01344	4.0784	0.7644
HG01345	3.1424	0.5707
HG01348	1.0482	0.006
HG01350	2.0053	0.1833
HG01351	4.5245	0.8303
HG01353	3.0471	0.5399
HG01354	1.8645	0.1482
HG01356	1.7989	0.1302
