Disease	lung cancer	Rank_lung cancer
HG02439	2.3191	0.2879
HG02442	2.7055	0.4253
HG02445	2.1113	0.2165
HG02449	3.9484	0.7428
HG02450	2.7026	0.4237
HG02455	2.7205	0.4317
HG02461	4.8129	0.8622
HG02462	6.8847	0.976
HG02464	5.0264	0.8842
HG02465	4.0157	0.7516
HG02470	3.2602	0.613
HG02471	3.2779	0.6162
HG02476	3.0392	0.5367
HG02477	2.017	0.1897
HG02479	7.8193	0.9904
HG02481	4.6548	0.847
HG02484	2.7456	0.4417
HG02485	4.7645	0.8586
HG02489	2.9362	0.5052
HG02490	2.2457	0.2672
HG02491	4.3012	0.8003
HG02493	2.9562	0.5112
HG02494	4.1516	0.7784
HG02496	4.9511	0.8774
HG02497	2.3821	0.3099
HG02501	2.6813	0.4157
HG02502	3.4353	0.643
HG02505	2.0649	0.2049
HG02508	2.6797	0.4145
HG02511	8.9361	0.9964
HG02512	2.1917	0.2456
HG02513	2.2267	0.2588
HG02521	6.3218	0.9637
HG02522	3.1158	0.5639
HG02536	2.5811	0.3794
HG02537	5.1402	0.8954
HG02541	4.4282	0.8179
HG02545	1.7533	0.1206
HG02546	4.8365	0.8638
HG02549	4.1462	0.776
HG02554	3.1871	0.5859
HG02555	4.2991	0.7999
HG02557	2.5607	0.3718
HG02558	2.5508	0.3698
HG02561	3.4096	0.6358
HG02562	5.0998	0.893
HG02568	1.3995	0.0431
HG02570	2.5095	0.351
HG02571	2.0385	0.1993
HG02573	3.7289	0.7009
HG02574	3.2307	0.6046
HG02577	4.2241	0.7895
HG02580	1.2843	0.0284
HG02582	4.0475	0.7572
HG02583	5.4926	0.9217
HG02585	4.1462	0.776
HG02586	5.0219	0.8834
HG02588	5.0602	0.8882
HG02589	3.1871	0.5859
HG02594	4.9214	0.8758
HG02595	1.6986	0.0998
HG02597	5.0279	0.8846
HG02600	2.9907	0.5224
HG02601	1.8473	0.1414
HG02603	4.0951	0.7684
HG02604	3.8282	0.7224
HG02610	4.3237	0.8031
HG02611	2.913	0.4988
HG02613	2.0701	0.2069
HG02614	3.619	0.6817
HG02620	3.8351	0.7248
HG02621	6.5811	0.97
HG02623	2.9379	0.5068
HG02624	3.8694	0.7316
HG02628	4.1466	0.7768
HG02629	3.0438	0.5383
HG02634	1.8617	0.1458
HG02635	3.2133	0.599
HG02642	5.9667	0.9513
HG02643	3.4137	0.6366
HG02645	2.454	0.3323
HG02646	2.165	0.236
HG02648	1.3445	0.0351
HG02649	2.6856	0.4185
HG02651	4.458	0.8207
HG02652	3.1028	0.5603
HG02654	3.834	0.7232
HG02655	2.1111	0.2149
HG02657	4.1136	0.7708
HG02658	3.1931	0.5891
HG02660	4.8725	0.8686
HG02661	2.2755	0.2724
HG02666	4.3249	0.8039
HG02667	2.5439	0.365
HG02675	6.4475	0.9681
HG02676	7.1513	0.9792
HG02678	8.1662	0.9924
HG02679	4.7356	0.855
HG02681	6.1104	0.9569
HG02682	2.6067	0.3902
HG02684	2.9373	0.506
HG02685	1.7809	0.1262
HG02687	2.0945	0.2105
HG02688	2.6549	0.4065
HG02690	3.2133	0.599
HG02691	1.5962	0.0787
HG02694	3.4851	0.6514
HG02696	2.6324	0.401
HG02697	2.9934	0.5232
HG02699	3.4288	0.6398
HG02700	3.4556	0.6454
HG02702	4.5869	0.8403
HG02703	1.7975	0.1294
HG02715	3.5099	0.6569
HG02716	3.7897	0.7149
HG02721	4.1177	0.7716
HG02722	8.212	0.9928
HG02724	3.4563	0.6478
HG02725	2.1291	0.2204
HG02727	0.9556	0.004
HG02728	3.9295	0.7404
HG02731	4.893	0.8718
HG02733	3.6499	0.6881
HG02734	4.3471	0.8091
HG02736	4.0032	0.7508
HG02737	7.8107	0.99
HG02756	5.6763	0.9345
HG02757	6.2676	0.9625
HG02759	2.8309	0.4756
HG02760	3.2123	0.5958
HG02763	5.6848	0.9357
HG02768	4.0796	0.7648
HG02769	2.7779	0.4525
HG02771	2.669	0.4113
HG02772	2.7494	0.4433
HG02774	5.6345	0.9325
HG02775	3.5484	0.6681
HG02778	1.8357	0.1354
HG02780	1.9664	0.1685
HG02783	4.3445	0.8083
HG02784	2.3684	0.3055
HG02786	1.7155	0.1114
HG02787	2.823	0.4728
HG02789	3.9091	0.7376
HG02790	5.5739	0.9285
HG02792	1.6127	0.0835
HG02793	4.2051	0.7867
HG02798	2.7677	0.4509
HG02799	3.3777	0.6318
HG02804	5.5063	0.9241
HG02805	2.2732	0.2716
HG02807	5.6848	0.9357
HG02808	3.5495	0.6689
HG02810	1.6802	0.0962
HG02811	4.6325	0.8454
HG02813	2.0968	0.2113
HG02814	2.2067	0.2516
HG02816	1.3229	0.0312
HG02817	1.9071	0.1601
HG02819	3.4322	0.641
HG02820	3.5047	0.6558
HG02836	1.456	0.0499
HG02837	6.4766	0.9685
HG02839	5.7122	0.9365
HG02840	2.7314	0.4361
HG02851	2.7796	0.4545
HG02852	2.3774	0.3067
HG02854	2.7596	0.4453
HG02855	4.2572	0.7931
HG02860	4.4344	0.8183
HG02861	6.0521	0.9557
HG02870	5.1686	0.8978
HG02878	3.1655	0.5807
HG02879	2.4965	0.3446
HG02881	3.5841	0.6721
HG02882	4.3654	0.8103
HG02884	8.5003	0.9948
HG02885	4.1079	0.77
HG02887	4.2546	0.7919
HG02888	2.4734	0.3403
HG02890	2.6848	0.4169
HG02891	3.1871	0.5859
HG02895	2.4667	0.3379
HG02896	5.4926	0.9217
HG02922	4.1504	0.7776
HG02923	5.9584	0.9501
HG02938	1.6548	0.0907
HG02941	4.2165	0.7879
HG02943	3.7584	0.7073
HG02944	3.904	0.7364
HG02946	4.0475	0.7572
HG02947	4.6665	0.849
HG02952	2.5677	0.3758
HG02953	2.5826	0.381
HG02968	5.2169	0.9026
HG02970	4.5818	0.8391
HG02971	1.9182	0.1629
HG02973	5.4157	0.9149
HG02974	3.1165	0.5643
HG02976	5.0739	0.8902
HG02977	4.4344	0.8183
HG02979	2.8746	0.4876
HG02981	4.4696	0.8231
HG02982	7.6377	0.9872
HG02983	2.6848	0.4169
HG03006	6.1454	0.9589
HG03007	4.0487	0.7588
HG03009	1.2668	0.0244
HG03012	2.6599	0.4077
HG03015	4.7631	0.8574
HG03016	1.1218	0.0084
HG03018	1.8671	0.1498
HG03019	7.5822	0.9852
HG03021	4.0157	0.7516
HG03022	2.1121	0.2173
HG03024	5.2331	0.9046
HG03025	5.181	0.899
HG03027	4.2546	0.7919
HG03028	3.1431	0.5711
HG03039	2.4658	0.3375
HG03040	3.1801	0.5831
HG03045	4.1934	0.7843
HG03046	3.1165	0.5643
HG03048	2.4412	0.3303
HG03049	5.9667	0.9513
HG03052	9.874	0.998
HG03054	3.4917	0.6542
HG03055	4.9091	0.8726
HG03057	3.1569	0.5755
HG03058	7.6798	0.9876
HG03060	5.5879	0.9301
HG03061	3.8049	0.7169
HG03063	1.6385	0.0895
HG03064	3.1371	0.5691
HG03066	3.0319	0.5351
HG03069	6.393	0.9669
HG03072	2.0974	0.2117
HG03073	5.181	0.899
HG03074	1.9794	0.1737
HG03077	3.5473	0.6673
HG03078	2.1821	0.2428
HG03079	4.7072	0.8542
HG03081	6.0618	0.9561
HG03082	3.1871	0.5859
HG03084	4.4273	0.8175
HG03085	4.9868	0.8802
HG03086	4.0157	0.7516
HG03088	3.6324	0.6833
HG03091	4.0796	0.7648
HG03095	3.0319	0.5351
HG03096	3.5912	0.6757
HG03097	4.8705	0.8682
HG03099	2.117	0.2185
HG03100	4.3654	0.8103
HG03103	2.2151	0.2572
HG03105	5.3361	0.9113
HG03108	5.1433	0.8974
HG03109	3.9658	0.746
HG03111	4.4048	0.8147
HG03112	1.2005	0.0152
HG03114	4.0499	0.76
HG03115	3.9283	0.74
HG03117	5.7892	0.9405
HG03118	4.9273	0.8762
HG03120	1.7047	0.1042
HG03121	2.8222	0.472
HG03123	4.6548	0.847
HG03124	4.7731	0.8598
HG03126	3.162	0.5771
HG03127	4.6945	0.8526
HG03129	5.4521	0.9181
HG03130	6.1086	0.9565
HG03132	3.2143	0.5998
HG03133	4.0951	0.7684
HG03135	5.503	0.9237
HG03136	4.2687	0.7947
HG03139	3.7229	0.7001
HG03157	3.6653	0.6893
HG03159	2.8238	0.4732
HG03160	3.2424	0.6074
HG03162	4.5667	0.8375
HG03163	3.2123	0.5958
HG03166	2.8769	0.4884
HG03168	1.711	0.107
HG03169	2.533	0.3626
HG03172	8.7627	0.9952
HG03175	6.6779	0.972
HG03189	2.4346	0.3255
HG03190	2.5811	0.3794
HG03193	4.5186	0.8295
HG03195	3.4096	0.6358
HG03196	2.8171	0.4712
HG03198	2.212	0.2536
HG03199	1.1897	0.0148
HG03202	3.9892	0.7492
HG03209	3.6954	0.6965
HG03212	4.331	0.8071
HG03224	1.7979	0.1298
HG03225	6.6819	0.9724
HG03228	5.044	0.885
HG03229	3.7607	0.7077
HG03234	2.0485	0.2017
HG03235	4.0759	0.7636
HG03237	6.1117	0.9573
HG03238	6.6081	0.9712
HG03240	1.5658	0.0679
HG03241	3.4195	0.6386
HG03246	2.8092	0.4677
HG03247	2.3161	0.2871
HG03258	5.2211	0.903
HG03259	7.5655	0.9836
HG03265	5.181	0.899
HG03267	2.4395	0.3291
HG03268	4.4696	0.8231
HG03270	2.4702	0.3391
HG03271	3.1165	0.5643
HG03279	2.2819	0.2752
HG03280	2.2608	0.2692
HG03291	4.3249	0.8039
HG03294	4.6983	0.853
HG03295	3.0919	0.5563
HG03297	2.5095	0.351
HG03298	3.6752	0.6917
HG03300	3.162	0.5771
HG03301	1.8238	0.133
HG03303	4.0467	0.7568
HG03304	5.7225	0.9373
HG03311	4.0157	0.7516
HG03313	4.7731	0.8598
HG03342	6.3566	0.9661
HG03343	3.2123	0.5958
HG03351	5.5756	0.9289
HG03352	3.3105	0.6242
HG03354	4.3366	0.8079
HG03363	3.6031	0.6785
HG03366	4.6983	0.853
HG03367	5.2625	0.9069
HG03369	3.0728	0.5491
HG03370	3.182	0.5835
HG03372	2.4346	0.3255
HG03376	3.6744	0.6913
HG03378	3.9785	0.7472
HG03380	4.6917	0.8514
HG03382	2.6379	0.4034
HG03385	2.2621	0.2704
HG03388	3.7412	0.7037
HG03391	2.588	0.3826
HG03394	4.5517	0.8343
HG03397	2.4734	0.3403
HG03401	4.8482	0.8662
HG03410	3.162	0.5771
HG03419	4.3249	0.8039
HG03428	2.5677	0.3758
HG03432	7.8798	0.9916
HG03433	4.6917	0.8514
HG03436	3.0716	0.5479
HG03437	3.7352	0.7029
HG03439	3.162	0.5771
HG03442	4.6674	0.8498
HG03445	4.3934	0.8119
HG03446	4.5942	0.8431
HG03449	6.4792	0.9688
HG03451	3.4322	0.641
HG03452	7.1513	0.9792
HG03455	5.9103	0.9469
HG03457	4.0475	0.7572
HG03458	5.5545	0.9273
HG03460	4.1574	0.7792
HG03461	4.7827	0.8614
HG03464	5.2294	0.9034
HG03469	5.5356	0.9257
HG03470	3.4147	0.637
HG03472	3.9393	0.7412
HG03473	5.2625	0.9069
HG03476	3.5841	0.6721
HG03478	3.7036	0.6989
HG03479	4.2627	0.7943
HG03484	3.1871	0.5859
HG03485	3.4869	0.6526
HG03488	5.3016	0.9089
HG03490	2.3085	0.2835
HG03491	2.228	0.2596
HG03499	1.7672	0.1238
HG03511	5.9996	0.9529
HG03514	3.6031	0.6785
HG03515	3.8049	0.7169
HG03517	2.0676	0.2061
HG03518	5.875	0.9449
HG03520	5.6803	0.9349
HG03521	3.3281	0.6274
HG03538	2.6848	0.4169
HG03539	2.212	0.2536
HG03547	4.0796	0.7648
HG03548	3.4322	0.641
HG03556	6.2183	0.9609
HG03557	2.5454	0.3658
HG03558	5.0173	0.8826
HG03559	2.3857	0.3111
HG03563	4.8139	0.863
HG03565	3.5233	0.6613
HG03567	2.8445	0.4792
HG03571	8.3545	0.994
HG03572	2.0974	0.2117
HG03575	4.3934	0.8119
HG03577	4.1504	0.7776
HG03578	4.4242	0.8171
HG03583	2.1572	0.232
HG03585	2.624	0.3974
HG03589	3.2168	0.6002
HG03593	2.5115	0.353
HG03594	1.5944	0.0775
HG03595	4.4584	0.8211
HG03598	1.6916	0.0986
HG03600	2.1155	0.2181
HG03603	1.5572	0.0671
HG03604	2.2116	0.2532
HG03607	8.0979	0.992
HG03611	5.6831	0.9353
HG03615	1.7961	0.1286
HG03616	2.9306	0.5032
HG03619	5.3522	0.9121
HG03624	1.8377	0.137
HG03625	2.5055	0.349
HG03629	5.9139	0.9477
HG03631	1.7005	0.1006
HG03634	2.5464	0.3662
HG03636	2.834	0.4764
HG03640	5.2148	0.9018
HG03642	2.7061	0.4257
HG03643	4.4194	0.8163
HG03644	1.6095	0.0823
HG03645	4.9111	0.873
HG03646	1.1713	0.0132
HG03649	2.8766	0.488
HG03652	3.1368	0.5687
HG03653	5.264	0.9077
HG03660	2.9767	0.5184
HG03663	3.7784	0.7125
HG03667	4.919	0.8746
HG03668	2.6164	0.3938
HG03672	3.3105	0.6242
HG03673	2.3812	0.3087
HG03679	4.5594	0.8363
HG03680	4.1616	0.7796
HG03681	4.5956	0.8435
HG03684	1.2329	0.0188
HG03685	7.4693	0.9828
HG03686	3.7958	0.7157
HG03687	1.8287	0.1338
HG03689	2.9838	0.5212
HG03690	3.009	0.528
HG03691	1.1849	0.0144
HG03692	4.1009	0.7696
HG03693	5.5472	0.9265
HG03694	2.5108	0.3522
HG03695	2.2298	0.2604
HG03696	2.8924	0.4924
HG03697	3.7803	0.7129
HG03698	1.177	0.014
HG03702	4.2836	0.7975
HG03703	3.5573	0.6693
HG03705	2.3613	0.3015
HG03706	1.5487	0.0655
HG03708	2.8924	0.4924
HG03709	2.9148	0.5
HG03711	2.0689	0.2065
HG03713	3.5215	0.6609
HG03714	6.618	0.9716
HG03716	7.0463	0.9784
HG03717	3.6252	0.6829
HG03718	5.9697	0.9521
HG03720	2.5294	0.361
HG03722	3.0235	0.5312
HG03727	4.9072	0.8722
HG03729	2.7765	0.4521
HG03730	6.7174	0.9736
HG03731	2.2542	0.2684
HG03733	2.7627	0.4461
HG03736	1.9236	0.1641
HG03738	3.0957	0.5583
HG03740	1.9439	0.1661
HG03741	1.6755	0.0942
HG03742	1.626	0.0875
HG03743	2.7112	0.4289
HG03744	6.3294	0.9649
HG03745	3.8072	0.7181
HG03746	2.3432	0.2963
HG03750	3.8946	0.7348
HG03752	4.0463	0.7564
HG03753	2.5246	0.3558
HG03754	3.1396	0.5695
HG03755	4.4925	0.8259
HG03756	1.8638	0.1478
HG03757	2.281	0.2748
HG03760	3.0081	0.5272
HG03762	3.4556	0.6454
HG03765	4.797	0.8618
HG03767	2.9651	0.5136
HG03770	2.2979	0.2815
HG03771	3.6966	0.6969
HG03772	1.3981	0.0427
HG03773	1.4573	0.0515
HG03774	5.0234	0.8838
HG03775	2.4895	0.3435
HG03777	2.9423	0.508
HG03778	4.4026	0.8143
HG03779	1.8897	0.1546
HG03780	2.4584	0.3339
HG03781	2.7096	0.4281
HG03782	1.1693	0.0124
HG03784	0.7933	0.0016
HG03785	4.7583	0.8566
HG03786	4.0213	0.7544
HG03787	6.5581	0.9696
HG03788	1.4822	0.0555
HG03789	2.0776	0.2085
HG03790	2.4095	0.3175
HG03792	2.2935	0.2784
HG03793	2.3312	0.2927
HG03796	3.0612	0.5451
HG03800	1.8508	0.1434
HG03802	1.4427	0.0463
HG03803	2.629	0.3994
HG03805	2.5945	0.3862
HG03808	3.3125	0.625
HG03809	1.265	0.0236
HG03812	2.1383	0.2228
HG03814	2.7007	0.4225
HG03815	2.3129	0.2851
HG03817	2.4286	0.3235
HG03821	1.9961	0.1797
HG03823	2.0224	0.1929
HG03824	3.2848	0.6174
HG03826	4.1301	0.7728
HG03829	0.7681	0.0012
HG03830	6.6866	0.9728
HG03832	1.3751	0.0415
HG03833	3.6903	0.6953
HG03836	3.8978	0.7356
HG03837	1.5804	0.0711
HG03838	2.3259	0.2903
HG03844	3.0953	0.5575
HG03846	1.5947	0.0779
HG03848	1.9455	0.1665
HG03849	1.7809	0.1262
HG03850	3.5992	0.6777
HG03851	3.3892	0.6326
HG03854	3.1412	0.5699
HG03856	2.7464	0.4421
HG03857	4.8725	0.8686
HG03858	2.5289	0.3602
HG03861	2.3282	0.2915
HG03862	2.5541	0.3706
HG03863	3.113	0.5631
HG03864	1.8927	0.1562
HG03866	2.1447	0.226
HG03867	1.9895	0.1761
HG03868	2.6148	0.393
HG03869	2.2972	0.2804
HG03870	1.9761	0.1725
HG03871	1.334	0.0331
HG03872	3.3605	0.631
HG03873	4.6353	0.8458
HG03874	2.6067	0.3902
HG03875	3.254	0.6102
HG03882	2.9084	0.4976
HG03884	2.8075	0.4657
HG03885	2.715	0.4301
HG03886	2.1887	0.2448
HG03887	5.3228	0.9109
HG03888	3.0517	0.5407
HG03890	2.0662	0.2053
HG03894	3.0072	0.526
HG03895	1.6098	0.0827
HG03896	2.5105	0.3518
HG03897	3.0168	0.53
HG03898	4.7091	0.8546
HG03899	2.5531	0.3702
HG03900	4.5567	0.8351
HG03902	1.3296	0.0319
HG03905	2.1396	0.2232
HG03907	1.7798	0.1258
HG03908	1.9668	0.1693
HG03910	3.7607	0.7077
HG03911	2.4836	0.3423
HG03913	2.5426	0.3642
HG03914	1.6062	0.0815
HG03916	2.4223	0.3223
HG03917	3.9988	0.7504
HG03919	2.8191	0.4716
HG03920	4.4898	0.8251
HG03922	1.8232	0.1326
HG03925	2.5485	0.3678
HG03926	5.8095	0.9417
HG03928	3.6763	0.6921
HG03931	3.6656	0.6897
HG03934	6.8675	0.9756
HG03937	2.5865	0.3818
HG03940	1.5186	0.0615
HG03941	1.9711	0.1697
HG03943	5.0516	0.8858
HG03944	5.7145	0.9369
HG03945	2.9306	0.5032
HG03947	3.0517	0.5407
HG03949	1.5535	0.0663
HG03950	3.588	0.6741
HG03951	5.2562	0.9062
HG03953	4.1289	0.7724
HG03955	5.086	0.8914
HG03960	4.4584	0.8211
HG03963	2.1477	0.2272
HG03965	2.5467	0.3666
HG03967	2.0119	0.1873
HG03968	4.7707	0.859
HG03969	4.1198	0.772
HG03971	1.9759	0.1717
HG03973	4.0776	0.764
HG03974	2.422	0.3219
HG03976	7.4641	0.9824
HG03977	3.8198	0.7212
HG03978	2.3406	0.2943
HG03985	5.3021	0.9097
HG03986	3.9063	0.7372
HG03989	1.4835	0.0559
HG03990	3.0235	0.5312
HG03991	6.262	0.9617
HG03995	1.6715	0.0938
HG03998	2.3129	0.2851
HG03999	3.5163	0.6597
HG04001	2.5505	0.3694
HG04002	2.872	0.486
HG04003	2.7047	0.4249
HG04006	2.146	0.2268
HG04014	2.9218	0.5016
HG04015	2.2949	0.2792
HG04017	2.149	0.228
HG04018	2.2001	0.2496
HG04019	4.5213	0.8299
HG04020	1.2136	0.016
HG04022	5.7494	0.9389
HG04023	1.795	0.1282
HG04025	2.7297	0.4357
HG04026	3.0836	0.5527
HG04029	3.1127	0.5627
HG04033	1.8502	0.1422
HG04035	3.0238	0.5319
HG04038	3.2391	0.6066
HG04039	3.7565	0.7053
HG04042	2.283	0.2756
HG04047	4.4194	0.8163
HG04054	1.8972	0.1573
HG04056	1.5485	0.0651
HG04059	3.9192	0.7384
HG04060	1.544	0.0639
HG04061	2.5317	0.3618
HG04062	3.4556	0.6454
HG04063	3.1249	0.5663
HG04070	1.8103	0.1314
HG04075	2.535	0.363
HG04076	4.9973	0.881
HG04080	3.5737	0.6705
HG04090	5.0759	0.8906
HG04093	2.629	0.3994
HG04094	1.7234	0.1142
HG04096	1.7326	0.1174
HG04098	2.5664	0.3742
HG04099	2.8968	0.4948
HG04100	4.5883	0.8411
HG04106	2.3867	0.3115
HG04107	6.349	0.9657
HG04118	2.2791	0.2736
HG04131	1.977	0.1733
HG04134	2.9746	0.5168
HG04140	5.1305	0.895
HG04141	1.7326	0.1174
HG04144	1.3193	0.03
HG04146	1.5467	0.0647
HG04152	6.9643	0.9776
HG04153	2.8337	0.476
HG04155	2.7018	0.4233
HG04156	2.9746	0.5168
HG04158	2.6015	0.3882
HG04159	3.2485	0.6082
HG04161	1.593	0.0763
HG04162	3.588	0.6741
HG04164	3.6186	0.6813
HG04171	1.0245	0.0056
HG04173	2.4732	0.3399
HG04176	3.7701	0.7097
HG04177	1.4506	0.0487
HG04180	2.5289	0.3602
HG04182	3.0759	0.5499
HG04183	2.9332	0.5048
HG04185	2.1613	0.2348
HG04186	2.7627	0.4461
HG04188	5.7288	0.9377
HG04189	3.6788	0.6925
HG04194	3.0517	0.5407
HG04195	2.1048	0.2137
HG04198	3.6796	0.6933
HG04200	3.8651	0.7304
HG04202	5.7916	0.9409
HG04206	2.834	0.4764
HG04209	7.6004	0.9864
HG04210	2.7577	0.4449
HG04211	2.7941	0.4617
HG04212	1.6765	0.0958
HG04214	2.1786	0.2416
HG04216	1.2158	0.0164
HG04219	2.8901	0.4916
HG04222	3.6444	0.6857
HG04225	3.2691	0.6146
HG04227	2.1611	0.234
HG04229	2.0383	0.1977
HG04235	1.6255	0.0871
HG04238	2.766	0.4489
HG04239	2.5746	0.3778
NA06984	2.6067	0.3902
NA06985	2.5406	0.3634
NA06986	3.466	0.649
NA06989	2.9467	0.5088
NA06994	3.3228	0.627
NA07000	1.7018	0.1034
NA07037	2.7985	0.4625
NA07048	2.0065	0.1841
NA07051	3.6925	0.6957
NA07056	3.0545	0.5435
NA07347	3.1218	0.5655
NA07357	3.0781	0.5515
NA10847	3.5321	0.6629
NA10851	1.8458	0.1394
NA11829	2.7232	0.4333
NA11830	3.2772	0.6154
NA11831	4.5078	0.8271
NA11832	2.3062	0.2831
NA11840	2.766	0.4489
NA11843	5.7368	0.9381
NA11881	2.381	0.3083
NA11892	1.3296	0.0319
NA11893	2.7704	0.4513
NA11894	2.7638	0.4469
NA11918	3.2088	0.5938
NA11919	2.8797	0.4892
NA11920	3.7565	0.7053
NA11930	2.7292	0.4349
NA11931	3.2851	0.6182
NA11932	2.5426	0.3642
NA11933	3.7453	0.7041
NA11992	3.535	0.6637
NA11994	1.1419	0.0096
NA11995	3.7773	0.7109
NA12003	3.2871	0.6198
NA12004	3.1541	0.5739
NA12005	1.7138	0.1078
NA12006	1.27	0.0248
NA12043	3.2185	0.6006
NA12044	3.7017	0.6977
NA12045	2.4354	0.3275
NA12046	2.0071	0.1849
NA12058	1.4742	0.0527
NA12144	2.4549	0.3327
NA12154	2.5607	0.3718
NA12155	4.6246	0.8442
NA12156	4.0715	0.7632
NA12234	2.0051	0.1825
NA12249	3.0787	0.5519
NA12272	3.8344	0.7236
NA12273	1.9836	0.1745
NA12275	2.6114	0.3926
NA12282	1.8132	0.1318
NA12283	4.5349	0.8323
NA12286	3.6844	0.6941
NA12287	2.1596	0.2328
NA12340	1.2541	0.0224
NA12341	2.0053	0.1833
NA12342	1.1535	0.0108
NA12347	4.9111	0.873
NA12348	3.8671	0.7308
NA12383	1.7191	0.113
NA12399	1.4525	0.0491
NA12400	1.373	0.0407
NA12413	3.3288	0.6278
NA12414	2.5924	0.385
NA12489	3.5992	0.6777
NA12546	0.9725	0.0052
NA12716	3.73	0.7021
NA12717	2.5805	0.379
NA12718	4.1417	0.7744
NA12748	2.3312	0.2927
NA12749	2.3793	0.3071
NA12750	1.7961	0.1286
NA12751	2.0182	0.1917
NA12760	2.2617	0.2696
NA12761	1.1755	0.0136
NA12762	2.5503	0.3686
NA12763	2.1767	0.2376
NA12775	1.1482	0.01
NA12776	2.4429	0.3311
NA12777	2.366	0.3031
NA12778	1.2354	0.0192
NA12812	3.0545	0.5435
NA12813	2.3092	0.2839
NA12814	5.0881	0.8918
NA12815	5.8814	0.9461
NA12827	3.2091	0.5942
NA12828	2.9559	0.5104
NA12829	3.904	0.7364
NA12830	3.2385	0.6058
NA12842	1.432	0.0451
NA12843	2.0131	0.1881
NA12872	2.197	0.2472
NA12873	2.9571	0.5116
NA12874	5.083	0.891
NA12878	2.1815	0.2424
NA12889	2.5282	0.359
NA12890	1.7191	0.113
NA18486	2.1773	0.24
NA18488	4.3358	0.8075
NA18489	2.6	0.387
NA18498	5.1402	0.8954
NA18499	7.5776	0.9848
NA18501	4.5517	0.8343
NA18502	2.3345	0.2935
NA18504	2.6848	0.4169
NA18505	2.4734	0.3403
NA18507	2.9523	0.5092
NA18508	3.6704	0.6905
NA18510	4.0157	0.7516
NA18511	2.7451	0.4413
NA18516	3.6197	0.6825
NA18517	5.865	0.9437
NA18519	3.2123	0.5958
NA18520	2.6427	0.4042
NA18522	2.3686	0.3063
NA18523	6.862	0.9752
NA18525	1.9037	0.1593
NA18526	2.7009	0.4229
NA18528	2.0481	0.2013
NA18530	3.5463	0.6665
NA18531	2.5891	0.3842
NA18532	2.3497	0.2983
NA18533	3.0286	0.5339
NA18534	2.618	0.3942
NA18535	2.8123	0.4688
NA18536	3.9255	0.7392
NA18537	2.4148	0.3187
NA18538	1.6983	0.0994
NA18539	3.588	0.6741
NA18541	3.0286	0.5339
NA18542	1.7	0.1002
NA18543	2.8927	0.4932
NA18544	3.096	0.5587
NA18545	2.1285	0.22
NA18546	1.8467	0.141
NA18547	2.2833	0.276
NA18548	5.9121	0.9473
NA18549	5.4271	0.9153
NA18550	4.3684	0.8111
NA18552	1.3495	0.0359
NA18553	1.5176	0.0611
NA18555	1.3446	0.0355
NA18557	1.8428	0.1386
NA18558	2.7091	0.4273
NA18559	2.3298	0.2919
NA18560	2.6052	0.3898
NA18561	1.3602	0.0387
NA18562	1.8528	0.1442
NA18563	2.7796	0.4545
NA18564	2.1295	0.2208
NA18565	2.2043	0.2508
NA18566	2.834	0.4764
NA18567	3.2265	0.6018
NA18570	2.212	0.2536
NA18571	1.8834	0.1538
NA18572	2.197	0.2472
NA18573	3.0649	0.5463
NA18574	3.8555	0.7292
NA18577	1.3535	0.0375
NA18579	1.676	0.095
NA18582	4.1458	0.7756
NA18591	1.8619	0.1462
NA18592	2.0224	0.1929
NA18593	2.3243	0.2887
NA18595	1.229	0.0176
NA18596	1.3386	0.0339
NA18597	3.6444	0.6857
NA18599	2.8855	0.49
NA18602	1.9361	0.1653
NA18603	3.1271	0.5667
NA18605	1.73	0.1162
NA18606	2.1583	0.2324
NA18608	1.5826	0.0715
NA18609	4.2177	0.7883
NA18610	3.9527	0.7432
NA18611	2.2425	0.2648
NA18612	3.2779	0.6162
NA18613	1.8778	0.153
NA18614	2.977	0.5192
NA18615	1.5049	0.0587
NA18616	2.8542	0.4832
NA18617	3.3394	0.6286
NA18618	1.604	0.0799
NA18619	4.0217	0.7548
NA18620	3.5438	0.6661
NA18621	1.8733	0.1514
NA18622	3.6814	0.6937
NA18623	2.2284	0.26
NA18624	4.5572	0.8359
NA18625	2.3984	0.3139
NA18626	2.0899	0.2097
NA18627	2.8728	0.4864
NA18628	2.0627	0.2033
NA18629	2.5075	0.3502
NA18630	2.721	0.4321
NA18631	3.4858	0.6518
NA18632	2.3427	0.2951
NA18633	2.6709	0.4129
NA18634	2.3257	0.2895
NA18635	2.197	0.2472
NA18636	3.5399	0.6653
NA18637	3.8409	0.7264
NA18638	1.8696	0.1506
NA18639	1.4786	0.0535
NA18640	2.9606	0.5124
NA18641	3.2443	0.6078
NA18642	1.8675	0.1502
NA18643	4.6693	0.8502
NA18644	1.273	0.0256
NA18645	3.0138	0.5296
NA18646	3.5434	0.6657
NA18647	4.0507	0.7608
NA18648	4.5617	0.8367
NA18740	1.4868	0.0567
NA18745	1.5927	0.0759
NA18747	2.0005	0.1801
NA18748	1.5789	0.0699
NA18749	2.2617	0.2696
NA18757	2.5811	0.3794
NA18853	4.8511	0.867
NA18856	2.8711	0.4852
NA18858	3.0633	0.5455
NA18861	5.4893	0.9205
NA18864	3.1906	0.5887
NA18865	5.0183	0.883
